"time","tps"
"2025-04-24 17:07:37 UTC","111"
"2025-04-24 17:07:40 UTC","125"
"2025-04-24 17:07:43 UTC","92"
"2025-04-24 17:07:46 UTC","106"
"2025-04-24 17:07:49 UTC","114"
"2025-04-24 17:07:52 UTC","125"
"2025-04-24 17:07:55 UTC","117"
"2025-04-24 17:07:58 UTC","123"
"2025-04-24 17:08:01 UTC","121"
"2025-04-24 17:08:04 UTC","118"
"2025-04-24 17:08:07 UTC","136"
"2025-04-24 17:08:10 UTC","126"
"2025-04-24 17:08:13 UTC","127"
"2025-04-24 17:08:16 UTC","131"
"2025-04-24 17:08:19 UTC","130"
"2025-04-24 17:08:22 UTC","122"
"2025-04-24 17:08:25 UTC","127"
"2025-04-24 17:08:28 UTC","124"
"2025-04-24 17:08:31 UTC","137"
"2025-04-24 17:08:34 UTC","129"
"2025-04-24 17:08:37 UTC","132"
"2025-04-24 17:08:40 UTC","116"
"2025-04-24 17:08:43 UTC","83"
"2025-04-24 17:08:46 UTC","120"
"2025-04-24 17:08:49 UTC","118"
"2025-04-24 17:08:52 UTC","110"
"2025-04-24 17:08:55 UTC","113"
"2025-04-24 17:08:58 UTC","118"
"2025-04-24 17:09:01 UTC","121"
"2025-04-24 17:09:04 UTC","121"
"2025-04-24 17:09:07 UTC","126"
"2025-04-24 17:09:10 UTC","121"
"2025-04-24 17:09:13 UTC","120"
"2025-04-24 17:09:16 UTC","122"
"2025-04-24 17:09:19 UTC","122"
"2025-04-24 17:09:22 UTC","121"
"2025-04-24 17:09:25 UTC","129"
"2025-04-24 17:09:28 UTC","118"
"2025-04-24 17:09:31 UTC","133"
"2025-04-24 17:09:34 UTC","122"
"2025-04-24 17:09:37 UTC","121"
"2025-04-24 17:09:40 UTC","128"
"2025-04-24 17:09:43 UTC","83"
"2025-04-24 17:09:46 UTC","89"
"2025-04-24 17:09:49 UTC","108"
"2025-04-24 17:09:52 UTC","107"
"2025-04-24 17:09:55 UTC","113"
"2025-04-24 17:09:58 UTC","102"
"2025-04-24 17:10:01 UTC","116"
"2025-04-24 17:10:04 UTC","122"
"2025-04-24 17:10:07 UTC","133"
"2025-04-24 17:10:10 UTC","128"
"2025-04-24 17:10:13 UTC","131"
"2025-04-24 17:10:16 UTC","131"
"2025-04-24 17:10:19 UTC","134"
"2025-04-24 17:10:22 UTC","131"
"2025-04-24 17:10:25 UTC","127"
"2025-04-24 17:10:28 UTC","130"
"2025-04-24 17:10:31 UTC","125"
"2025-04-24 17:10:34 UTC","121"
"2025-04-24 17:10:37 UTC","135"
"2025-04-24 17:10:40 UTC","128"
"2025-04-24 17:10:43 UTC","112"
"2025-04-24 17:10:46 UTC","113"
"2025-04-24 17:10:49 UTC","113"
"2025-04-24 17:10:52 UTC","109"
"2025-04-24 17:10:55 UTC","113"
"2025-04-24 17:10:58 UTC","114"
"2025-04-24 17:11:01 UTC","126"
"2025-04-24 17:11:04 UTC","120"
"2025-04-24 17:11:07 UTC","121"
"2025-04-24 17:11:10 UTC","122"
"2025-04-24 17:11:13 UTC","134"
"2025-04-24 17:11:16 UTC","115"
"2025-04-24 17:11:19 UTC","119"
"2025-04-24 17:11:22 UTC","123"
"2025-04-24 17:11:25 UTC","123"
"2025-04-24 17:11:28 UTC","127"
"2025-04-24 17:11:31 UTC","121"
"2025-04-24 17:11:34 UTC","119"
"2025-04-24 17:11:37 UTC","120"
"2025-04-24 17:11:40 UTC","90"
"2025-04-24 17:11:43 UTC","90"
"2025-04-24 17:11:46 UTC","110"
"2025-04-24 17:11:49 UTC","114"
"2025-04-24 17:11:52 UTC","109"
"2025-04-24 17:11:55 UTC","108"
"2025-04-24 17:11:58 UTC","85"
"2025-04-24 17:12:01 UTC","127"
"2025-04-24 17:12:04 UTC","119"
"2025-04-24 17:12:07 UTC","124"
"2025-04-24 17:12:10 UTC","122"
"2025-04-24 17:12:13 UTC","119"
"2025-04-24 17:12:16 UTC","126"
"2025-04-24 17:12:19 UTC","133"
"2025-04-24 17:12:22 UTC","131"
"2025-04-24 17:12:25 UTC","133"
"2025-04-24 17:12:28 UTC","125"
"2025-04-24 17:12:31 UTC","125"
"2025-04-24 17:12:34 UTC","127"
"2025-04-24 17:12:37 UTC","139"
"2025-04-24 17:12:40 UTC","139"
"2025-04-24 17:12:43 UTC","139"
"2025-04-24 17:12:46 UTC","110"
"2025-04-24 17:12:49 UTC","120"
"2025-04-24 17:12:52 UTC","134"
"2025-04-24 17:12:55 UTC","129"
"2025-04-24 17:12:58 UTC","124"
"2025-04-24 17:13:01 UTC","125"
