"time","tps"
"2025-04-23 00:00:01 UTC","77"
"2025-04-23 00:00:04 UTC","57"
"2025-04-23 00:00:07 UTC","8"
"2025-04-23 00:00:10 UTC","68"
"2025-04-23 00:00:13 UTC","21"
"2025-04-23 00:00:16 UTC","43"
"2025-04-23 00:00:19 UTC","45"
"2025-04-23 00:00:22 UTC","41"
"2025-04-23 00:00:25 UTC","41"
"2025-04-23 00:00:28 UTC","39"
"2025-04-23 00:00:31 UTC","38"
"2025-04-23 00:00:34 UTC","47"
"2025-04-23 00:00:37 UTC","48"
"2025-04-23 00:00:40 UTC","47"
"2025-04-23 00:00:43 UTC","40"
"2025-04-23 00:00:46 UTC","42"
"2025-04-23 00:00:49 UTC","36"
"2025-04-23 00:00:52 UTC","38"
"2025-04-23 00:00:55 UTC","39"
"2025-04-23 00:00:58 UTC","40"
"2025-04-23 00:01:01 UTC","42"
"2025-04-23 00:01:04 UTC","40"
"2025-04-23 00:01:07 UTC","43"
"2025-04-23 00:01:10 UTC","42"
"2025-04-23 00:01:13 UTC","45"
"2025-04-23 00:01:16 UTC","45"
"2025-04-23 00:01:19 UTC","42"
"2025-04-23 00:01:22 UTC","41"
"2025-04-23 00:01:25 UTC","43"
"2025-04-23 00:01:28 UTC","44"
"2025-04-23 00:01:31 UTC","42"
"2025-04-23 00:01:34 UTC","44"
"2025-04-23 00:01:37 UTC","50"
"2025-04-23 00:01:40 UTC","50"
"2025-04-23 00:01:43 UTC","47"
"2025-04-23 00:01:46 UTC","44"
"2025-04-23 00:01:49 UTC","46"
"2025-04-23 00:01:52 UTC","49"
"2025-04-23 00:01:55 UTC","48"
"2025-04-23 00:01:58 UTC","50"
"2025-04-23 00:02:01 UTC","48"
"2025-04-23 00:02:04 UTC","51"
"2025-04-23 00:02:07 UTC","47"
"2025-04-23 00:02:10 UTC","47"
"2025-04-23 00:02:13 UTC","43"
"2025-04-23 00:02:16 UTC","46"
"2025-04-23 00:02:19 UTC","45"
"2025-04-23 00:02:22 UTC","50"
"2025-04-23 00:02:25 UTC","46"
"2025-04-23 00:02:28 UTC","42"
"2025-04-23 00:02:31 UTC","47"
"2025-04-23 00:02:34 UTC","42"
"2025-04-23 00:02:37 UTC","47"
"2025-04-23 00:02:40 UTC","41"
"2025-04-23 00:02:43 UTC","43"
"2025-04-23 00:02:46 UTC","47"
"2025-04-23 00:02:49 UTC","42"
"2025-04-23 00:02:52 UTC","46"
"2025-04-23 00:02:55 UTC","43"
"2025-04-23 00:02:58 UTC","46"
"2025-04-23 00:03:01 UTC","45"
"2025-04-23 00:03:04 UTC","42"
"2025-04-23 00:03:07 UTC","45"
"2025-04-23 00:03:10 UTC","43"
"2025-04-23 00:03:13 UTC","43"
"2025-04-23 00:03:16 UTC","50"
"2025-04-23 00:03:19 UTC","50"
"2025-04-23 00:03:22 UTC","51"
"2025-04-23 00:03:25 UTC","46"
"2025-04-23 00:03:28 UTC","48"
"2025-04-23 00:03:31 UTC","47"
"2025-04-23 00:03:34 UTC","50"
"2025-04-23 00:03:37 UTC","53"
"2025-04-23 00:03:40 UTC","49"
"2025-04-23 00:03:43 UTC","46"
"2025-04-23 00:03:46 UTC","43"
"2025-04-23 00:03:49 UTC","45"
"2025-04-23 00:03:52 UTC","52"
"2025-04-23 00:03:55 UTC","50"
"2025-04-23 00:03:58 UTC","49"
"2025-04-23 00:04:01 UTC","50"
"2025-04-23 00:04:04 UTC","50"
"2025-04-23 00:04:07 UTC","51"
"2025-04-23 00:04:10 UTC","40"
"2025-04-23 00:04:13 UTC","45"
"2025-04-23 00:04:16 UTC","47"
"2025-04-23 00:04:19 UTC","49"
"2025-04-23 00:04:22 UTC","44"
"2025-04-23 00:04:25 UTC","48"
"2025-04-23 00:04:28 UTC","48"
"2025-04-23 00:04:31 UTC","50"
"2025-04-23 00:04:34 UTC","47"
"2025-04-23 00:04:37 UTC","48"
"2025-04-23 00:04:40 UTC","51"
"2025-04-23 00:04:43 UTC","50"
"2025-04-23 00:04:46 UTC","45"
"2025-04-23 00:04:49 UTC","42"
"2025-04-23 00:04:52 UTC","42"
"2025-04-23 00:04:55 UTC","53"
"2025-04-23 00:04:58 UTC","46"
"2025-04-23 00:05:01 UTC","40"
"2025-04-23 00:05:04 UTC","46"
"2025-04-23 00:05:07 UTC","46"
"2025-04-23 00:05:10 UTC","40"
"2025-04-23 00:05:13 UTC","41"
"2025-04-23 00:05:16 UTC","45"
"2025-04-23 00:05:19 UTC","45"
"2025-04-23 00:05:22 UTC","48"
"2025-04-23 00:05:25 UTC","49"
"2025-04-23 00:05:28 UTC","48"
"2025-04-23 00:05:31 UTC","46"
"2025-04-23 00:05:34 UTC","48"
"2025-04-23 00:05:37 UTC","50"
"2025-04-23 00:05:40 UTC","45"
"2025-04-23 00:05:43 UTC","47"
"2025-04-23 00:05:46 UTC","46"
"2025-04-23 00:05:49 UTC","43"
"2025-04-23 00:05:52 UTC","46"
"2025-04-23 00:05:55 UTC","48"
"2025-04-23 00:05:58 UTC","48"
"2025-04-23 00:06:01 UTC","47"
"2025-04-23 00:06:04 UTC","51"
"2025-04-23 00:06:07 UTC","45"
"2025-04-23 00:06:10 UTC","48"
