"time,tps"
"14:15:59,98"
"14:16:02,84"
"14:16:05,83"
"14:16:08,98"
"14:16:11,95"
"14:16:14,96"
"14:16:17,100"
"14:16:20,107"
"14:16:23,80"
"14:16:26,59"
"14:16:29,40"
"14:16:32,85"
"14:16:35,68"
"14:16:38,76"
"14:16:41,82"
"14:16:44,88"
"14:16:47,96"
"14:16:50,102"
"14:16:53,108"
"14:16:57,105"
"14:17:00,102"
"14:17:03,79"
"14:17:06,57"
"14:17:09,101"
"14:17:12,97"
"14:17:15,98"
"14:17:18,101"
"14:17:21,101"
"14:17:24,99"
"14:17:27,104"
"14:17:30,96"
"14:17:33,93"
"14:17:36,92"
"14:17:39,89"
"14:17:42,91"
"14:17:45,96"
"14:17:48,100"
"14:17:51,98"
"14:17:54,105"
"14:17:57,103"
"14:18:00,102"
"14:18:03,93"
"14:18:06,96"
"14:18:09,98"
"14:18:12,97"
"14:18:15,95"
"14:18:18,96"
"14:18:21,92"
"14:18:24,106"
"14:18:27,106"
"14:18:30,102"
"14:18:33,95"
"14:18:36,101"
"14:18:39,73"
"14:18:42,86"
"14:18:45,104"
"14:18:48,90"
"14:18:51,90"
"14:18:54,103"
"14:18:57,103"
"14:19:00,102"
"14:19:03,97"
"14:19:06,108"
"14:19:09,101"
"14:19:12,100"
"14:19:15,78"
"14:19:18,95"
"14:19:21,85"
"14:19:24,95"
"14:19:27,104"
"14:19:30,103"
"14:19:33,106"
"14:19:36,103"
"14:19:39,109"
"14:19:42,107"
"14:19:45,102"
"14:19:48,73"
"14:19:51,80"
"14:19:54,108"
"14:19:57,104"
"14:20:00,99"
"14:20:03,100"
"14:20:06,93"
"14:20:09,115"
"14:20:12,115"
"14:20:15,102"
"14:20:18,101"
"14:20:21,106"
"14:20:24,111"
"14:20:27,108"
"14:20:30,109"
"14:20:33,102"
"14:20:36,102"
"14:20:39,106"
"14:20:42,99"
"14:20:45,102"
"14:20:48,65"
"14:20:51,77"
"14:20:54,94"
"14:20:57,88"
"14:21:00,98"
"14:21:03,95"
"14:21:06,94"
"14:21:09,101"
"14:21:12,105"
"14:21:15,89"
"14:21:18,92"
"14:21:21,88"
"14:21:24,86"
"14:21:27,94"
"14:21:30,99"
"14:21:33,73"
"14:21:36,59"
"14:21:39,52"
"14:21:42,69"
"14:21:45,88"
"14:21:48,84"
"14:21:51,88"
"14:21:54,112"
"14:21:57,107"
"14:22:00,101"
"14:22:03,91"
"14:22:06,88"
"14:22:09,99"
"14:22:12,99"
"14:22:15,102"
"14:22:18,102"
"14:22:21,99"
"14:22:24,98"
"14:22:27,101"
"14:22:30,104"
"14:22:33,89"
"14:22:36,93"
"14:22:39,94"
"14:22:42,91"
"14:22:45,98"
"14:22:48,95"
"14:22:51,94"
"14:22:54,109"
"14:22:57,109"
"14:23:00,111"
"14:23:03,100"
"14:23:06,77"
"14:23:09,74"
"14:23:12,88"
"14:23:15,90"
"14:23:18,94"
"14:23:21,90"
"14:23:24,110"
"14:23:27,107"
"14:23:30,110"
"14:23:33,75"
"14:23:36,69"
"14:23:39,103"
"14:23:42,99"
"14:23:45,90"
"14:23:48,92"
"14:23:51,93"
"14:23:54,112"
"14:23:57,116"
"14:24:00,106"
"14:24:03,35"
"14:24:06,45"
"14:24:09,38"
"14:24:12,63"
"14:24:15,68"
"14:24:18,77"
"14:24:21,79"
"14:24:24,99"
"14:24:27,103"
"14:24:30,110"
"14:24:33,101"
"14:24:36,109"
"14:24:39,106"
"14:24:42,106"
"14:24:45,104"
"14:24:48,104"
"14:24:51,102"
"14:24:54,92"
"14:24:57,98"
"14:25:00,102"
"14:25:03,104"
"14:25:06,105"
"14:25:09,105"
"14:25:12,101"
"14:25:15,96"
"14:25:18,98"
"14:25:21,99"
"14:25:24,101"
"14:25:27,101"
"14:25:30,103"
"14:25:33,98"
"14:25:36,92"
"14:25:39,95"
"14:25:42,94"
"14:25:45,95"
"14:25:48,98"
"14:25:51,100"
"14:25:54,98"
"14:25:57,92"
"14:26:00,102"
"14:26:03,91"
"14:26:06,98"
"14:26:09,105"
"14:26:13,104"
"14:26:16,104"
"14:26:19,95"
"14:26:22,94"
"14:26:25,108"
"14:26:28,98"
"14:26:31,103"
"14:26:34,97"
"14:26:37,97"
"14:26:40,95"
"14:26:43,95"
"14:26:46,94"
"14:26:49,90"
"14:26:52,88"
"14:26:55,96"
"14:26:58,105"
"14:27:01,114"
"14:27:04,110"
"14:27:07,116"
"14:27:10,105"
"14:27:13,104"
"14:27:16,112"
"14:27:19,112"
"14:27:22,107"
"14:27:25,104"
"14:27:28,102"
"14:27:31,106"
"14:27:34,100"
"14:27:37,101"
"14:27:40,96"
"14:27:43,99"
"14:27:46,93"
"14:27:49,97"
"14:27:52,94"
"14:27:55,97"
"14:27:58,96"
"14:28:01,100"
"14:28:04,109"
"14:28:07,104"
"14:28:10,96"
"14:28:13,103"
"14:28:16,105"
"14:28:19,96"
"14:28:22,103"
"14:28:25,95"
"14:28:28,96"
"14:28:31,92"
"14:28:34,103"
"14:28:37,99"
"14:28:40,108"
"14:28:43,102"
"14:28:46,98"
"14:28:49,100"
"14:28:52,100"
"14:28:55,109"
"14:28:58,92"
"14:29:01,85"
"14:29:04,84"
"14:29:07,93"
"14:29:10,87"
"14:29:13,96"
"14:29:16,100"
"14:29:19,111"
"14:29:22,114"
"14:29:25,104"
"14:29:28,104"
"14:29:31,110"
"14:29:34,109"
"14:29:37,101"
"14:29:40,99"
"14:29:43,101"
"14:29:46,98"
"14:29:49,95"
"14:29:52,93"
"14:29:55,90"
"14:29:58,103"
"14:30:01,93"
"14:30:04,85"
"14:30:07,88"
"14:30:10,98"
"14:30:13,99"
"14:30:16,108"
"14:30:19,107"
"14:30:22,109"
"14:30:25,96"
"14:30:28,97"
"14:30:31,99"
"14:30:34,100"
"14:30:37,98"
"14:30:40,104"
"14:30:43,107"
"14:30:46,110"
"14:30:49,100"
"14:30:52,98"
"14:30:55,94"
"14:30:58,98"
"14:31:01,93"
"14:31:04,91"
"14:31:07,95"
"14:31:10,108"
"14:31:13,103"
"14:31:16,105"
"14:31:19,93"
"14:31:22,97"
"14:31:25,91"
"14:31:28,97"
"14:31:31,99"
"14:31:34,110"
"14:31:37,99"
"14:31:40,97"
"14:31:43,102"
"14:31:46,98"
"14:31:49,85"
"14:31:52,88"
"14:31:55,84"
"14:31:58,81"
"14:32:01,76"
"14:32:04,81"
"14:32:07,76"
"14:32:10,78"
"14:32:13,81"
"14:32:16,80"
"14:32:19,83"
"14:32:22,79"
"14:32:25,72"
"14:32:28,77"
"14:32:31,77"
"14:32:34,74"
"14:32:37,76"
"14:32:40,77"
"14:32:43,75"
"14:32:46,79"
"14:32:49,78"
"14:32:52,76"
"14:32:55,75"
"14:32:58,84"
"14:33:01,76"
"14:33:04,77"
"14:33:07,75"
"14:33:10,79"
"14:33:13,77"
"14:33:16,73"
"14:33:19,66"
"14:33:22,65"
"14:33:25,78"
"14:33:28,78"
"14:33:31,79"
"14:33:34,77"
"14:33:37,76"
"14:33:40,76"
"14:33:43,76"
"14:33:46,76"
"14:33:49,78"
"14:33:52,73"
"14:33:55,75"
"14:33:58,73"
"14:34:01,80"
"14:34:04,73"
"14:34:07,74"
"14:34:11,75"
"14:34:14,70"
"14:34:17,75"
"14:34:20,67"
"14:34:23,69"
"14:34:26,75"
"14:34:29,78"
"14:34:32,79"
"14:34:35,103"
"14:34:38,96"
"14:34:41,92"
"14:34:44,104"
"14:34:47,99"
"14:34:50,104"
"14:34:53,114"
"14:34:56,128"
"14:34:59,142"
"14:35:02,129"
"14:35:05,117"
"14:35:08,120"
"14:35:11,111"
"14:35:14,105"
"14:35:17,110"
"14:35:20,110"
"14:35:23,115"
"14:35:26,123"
"14:35:29,126"
"14:35:32,124"
"14:35:35,118"
"14:35:38,126"
"14:35:41,129"
"14:35:44,129"
"14:35:47,124"
"14:35:50,134"
"14:35:53,128"
"14:35:56,128"
"14:35:59,127"
"14:36:02,123"
"14:36:05,108"
"14:36:08,113"
"14:36:11,120"
"14:36:14,115"
"14:36:17,117"
"14:36:20,126"
"14:36:23,128"
"14:36:26,113"
"14:36:29,119"
"14:36:32,116"
"14:36:35,98"
"14:36:38,91"
"14:36:41,118"
"14:36:44,117"
"14:36:47,120"
"14:36:50,138"
"14:36:53,122"
"14:36:56,116"
"14:36:59,123"
