"time","tps"
"2025-04-23 17:00:01 UTC","123"
"2025-04-23 17:00:04 UTC","106"
"2025-04-23 17:00:07 UTC","110"
"2025-04-23 17:00:10 UTC","124"
"2025-04-23 17:00:13 UTC","76"
"2025-04-23 17:00:16 UTC","82"
"2025-04-23 17:00:19 UTC","95"
"2025-04-23 17:00:22 UTC","93"
"2025-04-23 17:00:25 UTC","84"
"2025-04-23 17:00:28 UTC","99"
"2025-04-23 17:00:31 UTC","90"
"2025-04-23 17:00:34 UTC","88"
"2025-04-23 17:00:37 UTC","88"
"2025-04-23 17:00:40 UTC","80"
"2025-04-23 17:00:43 UTC","91"
"2025-04-23 17:00:46 UTC","95"
"2025-04-23 17:00:49 UTC","103"
"2025-04-23 17:00:52 UTC","102"
"2025-04-23 17:00:55 UTC","93"
"2025-04-23 17:00:58 UTC","100"
"2025-04-23 17:01:01 UTC","92"
"2025-04-23 17:01:04 UTC","96"
"2025-04-23 17:01:07 UTC","107"
"2025-04-23 17:01:10 UTC","108"
"2025-04-23 17:01:13 UTC","109"
"2025-04-23 17:01:16 UTC","110"
"2025-04-23 17:01:19 UTC","83"
"2025-04-23 17:01:22 UTC","69"
"2025-04-23 17:01:25 UTC","78"
"2025-04-23 17:01:28 UTC","102"
"2025-04-23 17:01:31 UTC","97"
"2025-04-23 17:01:34 UTC","101"
"2025-04-23 17:01:37 UTC","104"
"2025-04-23 17:01:40 UTC","102"
"2025-04-23 17:01:43 UTC","100"
"2025-04-23 17:01:46 UTC","104"
"2025-04-23 17:01:49 UTC","110"
"2025-04-23 17:01:52 UTC","111"
"2025-04-23 17:01:55 UTC","98"
"2025-04-23 17:01:58 UTC","74"
"2025-04-23 17:02:01 UTC","96"
"2025-04-23 17:02:04 UTC","94"
"2025-04-23 17:02:07 UTC","90"
"2025-04-23 17:02:10 UTC","97"
"2025-04-23 17:02:13 UTC","101"
"2025-04-23 17:02:16 UTC","103"
"2025-04-23 17:02:19 UTC","104"
"2025-04-23 17:02:22 UTC","104"
"2025-04-23 17:02:25 UTC","101"
