"time","tps"
"2025-04-23 00:07:37 UTC","37"
"2025-04-23 00:07:40 UTC","35"
"2025-04-23 00:07:43 UTC","40"
"2025-04-23 00:07:46 UTC","51"
"2025-04-23 00:07:49 UTC","52"
"2025-04-23 00:07:52 UTC","55"
"2025-04-23 00:07:55 UTC","46"
"2025-04-23 00:07:58 UTC","47"
"2025-04-23 00:08:01 UTC","49"
"2025-04-23 00:08:04 UTC","47"
"2025-04-23 00:08:07 UTC","49"
"2025-04-23 00:08:10 UTC","46"
"2025-04-23 00:08:13 UTC","49"
"2025-04-23 00:08:16 UTC","48"
"2025-04-23 00:08:19 UTC","53"
"2025-04-23 00:08:22 UTC","56"
"2025-04-23 00:08:25 UTC","49"
"2025-04-23 00:08:28 UTC","46"
"2025-04-23 00:08:31 UTC","45"
"2025-04-23 00:08:34 UTC","43"
"2025-04-23 00:08:37 UTC","52"
"2025-04-23 00:08:40 UTC","49"
"2025-04-23 00:08:43 UTC","52"
"2025-04-23 00:08:46 UTC","43"
"2025-04-23 00:08:49 UTC","47"
"2025-04-23 00:08:52 UTC","49"
"2025-04-23 00:08:55 UTC","51"
"2025-04-23 00:08:58 UTC","48"
"2025-04-23 00:09:01 UTC","47"
"2025-04-23 00:09:04 UTC","49"
"2025-04-23 00:09:07 UTC","42"
"2025-04-23 00:09:10 UTC","45"
"2025-04-23 00:09:13 UTC","47"
"2025-04-23 00:09:16 UTC","43"
"2025-04-23 00:09:19 UTC","44"
"2025-04-23 00:09:22 UTC","54"
"2025-04-23 00:09:25 UTC","52"
"2025-04-23 00:09:28 UTC","47"
"2025-04-23 00:09:31 UTC","42"
"2025-04-23 00:09:34 UTC","44"
"2025-04-23 00:09:37 UTC","51"
"2025-04-23 00:09:40 UTC","48"
"2025-04-23 00:09:43 UTC","46"
"2025-04-23 00:09:46 UTC","43"
"2025-04-23 00:09:49 UTC","42"
"2025-04-23 00:09:52 UTC","44"
"2025-04-23 00:09:55 UTC","44"
"2025-04-23 00:09:58 UTC","45"
"2025-04-23 00:10:01 UTC","51"
"2025-04-23 00:10:04 UTC","55"
"2025-04-23 00:10:07 UTC","60"
"2025-04-23 00:10:10 UTC","63"
"2025-04-23 00:10:13 UTC","61"
"2025-04-23 00:10:16 UTC","63"
"2025-04-23 00:10:19 UTC","66"
"2025-04-23 00:10:22 UTC","75"
"2025-04-23 00:10:25 UTC","69"
"2025-04-23 00:10:28 UTC","62"
"2025-04-23 00:10:31 UTC","70"
"2025-04-23 00:10:34 UTC","70"
"2025-04-23 00:10:37 UTC","67"
"2025-04-23 00:10:40 UTC","69"
"2025-04-23 00:10:43 UTC","62"
"2025-04-23 00:10:46 UTC","53"
"2025-04-23 00:10:49 UTC","59"
"2025-04-23 00:10:52 UTC","65"
"2025-04-23 00:10:55 UTC","63"
"2025-04-23 00:10:58 UTC","66"
"2025-04-23 00:11:01 UTC","60"
"2025-04-23 00:11:04 UTC","60"
"2025-04-23 00:11:07 UTC","47"
"2025-04-23 00:11:10 UTC","59"
"2025-04-23 00:11:13 UTC","63"
"2025-04-23 00:11:16 UTC","62"
"2025-04-23 00:11:19 UTC","61"
"2025-04-23 00:11:22 UTC","70"
"2025-04-23 00:11:25 UTC","72"
"2025-04-23 00:11:28 UTC","75"
"2025-04-23 00:11:31 UTC","68"
"2025-04-23 00:11:34 UTC","68"
"2025-04-23 00:11:37 UTC","70"
"2025-04-23 00:11:40 UTC","68"
"2025-04-23 00:11:43 UTC","64"
"2025-04-23 00:11:46 UTC","66"
"2025-04-23 00:11:49 UTC","67"
"2025-04-23 00:11:52 UTC","66"
"2025-04-23 00:11:55 UTC","70"
"2025-04-23 00:11:58 UTC","68"
"2025-04-23 00:12:01 UTC","68"
"2025-04-23 00:12:04 UTC","69"
"2025-04-23 00:12:07 UTC","70"
"2025-04-23 00:12:10 UTC","65"
"2025-04-23 00:12:13 UTC","60"
"2025-04-23 00:12:16 UTC","75"
"2025-04-23 00:12:19 UTC","75"
"2025-04-23 00:12:23 UTC","72"
"2025-04-23 00:12:26 UTC","72"
"2025-04-23 00:12:29 UTC","66"
"2025-04-23 00:12:32 UTC","66"
"2025-04-23 00:12:35 UTC","69"
"2025-04-23 00:12:38 UTC","65"
"2025-04-23 00:12:41 UTC","65"
"2025-04-23 00:12:44 UTC","67"
"2025-04-23 00:12:47 UTC","69"
"2025-04-23 00:12:50 UTC","65"
"2025-04-23 00:12:53 UTC","67"
"2025-04-23 00:12:56 UTC","65"
"2025-04-23 00:12:59 UTC","70"
"2025-04-23 00:13:02 UTC","72"
"2025-04-23 00:13:05 UTC","74"
"2025-04-23 00:13:08 UTC","78"
"2025-04-23 00:13:11 UTC","70"
"2025-04-23 00:13:14 UTC","63"
"2025-04-23 00:13:17 UTC","58"
"2025-04-23 00:13:20 UTC","62"
"2025-04-23 00:13:23 UTC","61"
"2025-04-23 00:13:26 UTC","69"
"2025-04-23 00:13:29 UTC","61"
"2025-04-23 00:13:32 UTC","62"
"2025-04-23 00:13:35 UTC","60"
"2025-04-23 00:13:38 UTC","66"
"2025-04-23 00:13:41 UTC","69"
"2025-04-23 00:13:44 UTC","61"
"2025-04-23 00:13:47 UTC","62"
"2025-04-23 00:13:50 UTC","64"
"2025-04-23 00:13:53 UTC","71"
"2025-04-23 00:13:56 UTC","66"
"2025-04-23 00:13:59 UTC","59"
"2025-04-23 00:14:02 UTC","65"
"2025-04-23 00:14:05 UTC","66"
"2025-04-23 00:14:08 UTC","60"
"2025-04-23 00:14:11 UTC","60"
