"time","tps"
"2025-04-30 00:00:01 UTC","83"
"2025-04-30 00:00:04 UTC","67"
"2025-04-30 00:00:07 UTC","52"
"2025-04-30 00:00:10 UTC","48"
"2025-04-30 00:00:13 UTC","48"
"2025-04-30 00:00:16 UTC","39"
"2025-04-30 00:00:19 UTC","38"
"2025-04-30 00:00:22 UTC","37"
"2025-04-30 00:00:25 UTC","39"
"2025-04-30 00:00:28 UTC","41"
"2025-04-30 00:00:31 UTC","41"
"2025-04-30 00:00:34 UTC","36"
"2025-04-30 00:00:37 UTC","35"
"2025-04-30 00:00:40 UTC","36"
"2025-04-30 00:00:43 UTC","36"
"2025-04-30 00:00:46 UTC","35"
"2025-04-30 00:00:49 UTC","39"
"2025-04-30 00:00:52 UTC","39"
"2025-04-30 00:00:55 UTC","33"
"2025-04-30 00:00:58 UTC","34"
"2025-04-30 00:01:01 UTC","42"
"2025-04-30 00:01:04 UTC","41"
"2025-04-30 00:01:07 UTC","39"
"2025-04-30 00:01:10 UTC","44"
"2025-04-30 00:01:13 UTC","44"
"2025-04-30 00:01:16 UTC","42"
"2025-04-30 00:01:19 UTC","40"
"2025-04-30 00:01:22 UTC","40"
"2025-04-30 00:01:25 UTC","38"
"2025-04-30 00:01:28 UTC","40"
"2025-04-30 00:01:31 UTC","37"
"2025-04-30 00:01:34 UTC","41"
"2025-04-30 00:01:37 UTC","35"
"2025-04-30 00:01:40 UTC","39"
"2025-04-30 00:01:43 UTC","42"
"2025-04-30 00:01:46 UTC","39"
"2025-04-30 00:01:49 UTC","43"
"2025-04-30 00:01:52 UTC","40"
"2025-04-30 00:01:55 UTC","44"
"2025-04-30 00:01:58 UTC","40"
"2025-04-30 00:02:01 UTC","41"
"2025-04-30 00:02:04 UTC","39"
"2025-04-30 00:02:07 UTC","43"
"2025-04-30 00:02:10 UTC","41"
"2025-04-30 00:02:13 UTC","44"
"2025-04-30 00:02:16 UTC","47"
"2025-04-30 00:02:19 UTC","44"
"2025-04-30 00:02:22 UTC","46"
"2025-04-30 00:02:25 UTC","49"
